"","x"
"1","   HIGH SURF ADVISORY"
"2"," FLASH FLOOD"
"3"," TSTM WIND"
"4"," TSTM WIND (G45)"
"5","?"
"6","AGRICULTURAL FREEZE"
"7","APACHE COUNTY"
"8","ASTRONOMICAL HIGH TIDE"
"9","ASTRONOMICAL LOW TIDE"
"10","AVALANCE"
"11","AVALANCHE"
"12","Beach Erosion"
"13","BLACK ICE"
"14","BLIZZARD"
"15","BLIZZARD/WINTER STORM"
"16","BLOWING DUST"
"17","blowing snow"
"18","BLOWING SNOW"
"19","BREAKUP FLOODING"
"20","BRUSH FIRE"
"21","COASTAL  FLOODING/EROSION"
"22","COASTAL EROSION"
"23","Coastal Flood"
"24","COASTAL FLOOD"
"25","Coastal Flooding"
"26","COASTAL FLOODING"
"27","COASTAL FLOODING/EROSION"
"28","Coastal Storm"
"29","COASTAL STORM"
"30","COASTAL SURGE"
"31","COASTALSTORM"
"32","Cold"
"33","COLD"
"34","COLD AIR TORNADO"
"35","COLD AND SNOW"
"36","COLD AND WET CONDITIONS"
"37","Cold Temperature"
"38","COLD WAVE"
"39","COLD WEATHER"
"40","COLD/WIND CHILL"
"41","COLD/WINDS"
"42","COOL AND WET"
"43","DAM BREAK"
"44","Damaging Freeze"
"45","DAMAGING FREEZE"
"46","DENSE FOG"
"47","DENSE SMOKE"
"48","DOWNBURST"
"49","DROUGHT"
"50","DROUGHT/EXCESSIVE HEAT"
"51","DROWNING"
"52","DRY MICROBURST"
"53","DRY MIRCOBURST WINDS"
"54","Dust Devil"
"55","DUST DEVIL"
"56","DUST DEVIL WATERSPOUT"
"57","DUST STORM"
"58","DUST STORM/HIGH WINDS"
"59","Early Frost"
"60","Erosion/Cstl Flood"
"61","EXCESSIVE HEAT"
"62","EXCESSIVE RAINFALL"
"63","EXCESSIVE SNOW"
"64","EXCESSIVE WETNESS"
"65","Extended Cold"
"66","Extreme Cold"
"67","EXTREME COLD"
"68","EXTREME COLD/WIND CHILL"
"69","EXTREME HEAT"
"70","EXTREME WIND CHILL"
"71","EXTREME WINDCHILL"
"72","FALLING SNOW/ICE"
"73","FLASH FLOOD"
"74","FLASH FLOOD - HEAVY RAIN"
"75","FLASH FLOOD FROM ICE JAMS"
"76","FLASH FLOOD LANDSLIDES"
"77","FLASH FLOOD WINDS"
"78","FLASH FLOOD/"
"79","FLASH FLOOD/ STREET"
"80","FLASH FLOOD/FLOOD"
"81","FLASH FLOOD/LANDSLIDE"
"82","FLASH FLOODING"
"83","FLASH FLOODING/FLOOD"
"84","FLASH FLOODING/THUNDERSTORM WI"
"85","FLASH FLOODS"
"86","FLOOD"
"87","FLOOD & HEAVY RAIN"
"88","FLOOD FLASH"
"89","FLOOD/FLASH"
"90","FLOOD/FLASH FLOOD"
"91","FLOOD/FLASH/FLOOD"
"92","FLOOD/FLASHFLOOD"
"93","FLOOD/RAIN/WINDS"
"94","FLOOD/RIVER FLOOD"
"95","FLOODING"
"96","FLOODING/HEAVY RAIN"
"97","FLOODS"
"98","FOG"
"99","FOG AND COLD TEMPERATURES"
"100","FOREST FIRES"
"101","Freeze"
"102","FREEZE"
"103","Freezing drizzle"
"104","Freezing Drizzle"
"105","FREEZING DRIZZLE"
"106","FREEZING FOG"
"107","Freezing Rain"
"108","FREEZING RAIN"
"109","FREEZING RAIN/SLEET"
"110","FREEZING RAIN/SNOW"
"111","Freezing Spray"
"112","FROST"
"113","Frost/Freeze"
"114","FROST/FREEZE"
"115","FROST\FREEZE"
"116","FUNNEL CLOUD"
"117","Glaze"
"118","GLAZE"
"119","GLAZE ICE"
"120","GLAZE/ICE STORM"
"121","gradient wind"
"122","Gradient wind"
"123","GRADIENT WIND"
"124","GRASS FIRES"
"125","GROUND BLIZZARD"
"126","GUSTNADO"
"127","GUSTY WIND"
"128","GUSTY WIND/HAIL"
"129","GUSTY WIND/HVY RAIN"
"130","Gusty wind/rain"
"131","Gusty winds"
"132","Gusty Winds"
"133","GUSTY WINDS"
"134","HAIL"
"135","HAIL 0.75"
"136","HAIL 075"
"137","HAIL 100"
"138","HAIL 125"
"139","HAIL 150"
"140","HAIL 175"
"141","HAIL 200"
"142","HAIL 275"
"143","HAIL 450"
"144","HAIL 75"
"145","HAIL DAMAGE"
"146","HAIL/WIND"
"147","HAIL/WINDS"
"148","HAILSTORM"
"149","HARD FREEZE"
"150","HAZARDOUS SURF"
"151","HEAT"
"152","Heat Wave"
"153","HEAT WAVE"
"154","HEAT WAVE DROUGHT"
"155","HEAT WAVES"
"156","HEAVY LAKE SNOW"
"157","HEAVY MIX"
"158","HEAVY PRECIPITATION"
"159","HEAVY RAIN"
"160","HEAVY RAIN AND FLOOD"
"161","Heavy Rain/High Surf"
"162","HEAVY RAIN/LIGHTNING"
"163","HEAVY RAIN/SEVERE WEATHER"
"164","HEAVY RAIN/SMALL STREAM URBAN"
"165","HEAVY RAIN/SNOW"
"166","HEAVY RAINS"
"167","HEAVY RAINS/FLOODING"
"168","HEAVY SEAS"
"169","HEAVY SHOWER"
"170","HEAVY SNOW"
"171","HEAVY SNOW-SQUALLS"
"172","HEAVY SNOW AND HIGH WINDS"
"173","HEAVY SNOW AND STRONG WINDS"
"174","Heavy snow shower"
"175","HEAVY SNOW SQUALLS"
"176","HEAVY SNOW/BLIZZARD"
"177","HEAVY SNOW/BLIZZARD/AVALANCHE"
"178","HEAVY SNOW/FREEZING RAIN"
"179","HEAVY SNOW/HIGH WINDS & FLOOD"
"180","HEAVY SNOW/ICE"
"181","HEAVY SNOW/SQUALLS"
"182","HEAVY SNOW/WIND"
"183","HEAVY SNOW/WINTER STORM"
"184","HEAVY SNOWPACK"
"185","Heavy Surf"
"186","HEAVY SURF"
"187","Heavy surf and wind"
"188","HEAVY SURF COASTAL FLOODING"
"189","HEAVY SURF/HIGH SURF"
"190","HEAVY SWELLS"
"191","HIGH"
"192","HIGH  WINDS"
"193","HIGH SEAS"
"194","High Surf"
"195","HIGH SURF"
"196","HIGH SWELLS"
"197","HIGH TIDES"
"198","HIGH WATER"
"199","HIGH WAVES"
"200","HIGH WIND"
"201","HIGH WIND (G40)"
"202","HIGH WIND 48"
"203","HIGH WIND AND SEAS"
"204","HIGH WIND DAMAGE"
"205","HIGH WIND/BLIZZARD"
"206","HIGH WIND/HEAVY SNOW"
"207","HIGH WIND/SEAS"
"208","HIGH WINDS"
"209","HIGH WINDS HEAVY RAINS"
"210","HIGH WINDS/"
"211","HIGH WINDS/COASTAL FLOOD"
"212","HIGH WINDS/COLD"
"213","HIGH WINDS/HEAVY RAIN"
"214","HIGH WINDS/SNOW"
"215","HURRICANE"
"216","HURRICANE-GENERATED SWELLS"
"217","Hurricane Edouard"
"218","HURRICANE EMILY"
"219","HURRICANE ERIN"
"220","HURRICANE FELIX"
"221","HURRICANE GORDON"
"222","HURRICANE OPAL"
"223","HURRICANE OPAL/HIGH WINDS"
"224","HURRICANE/TYPHOON"
"225","HVY RAIN"
"226","HYPERTHERMIA/EXPOSURE"
"227","HYPOTHERMIA"
"228","Hypothermia/Exposure"
"229","HYPOTHERMIA/EXPOSURE"
"230","ICE"
"231","ICE AND SNOW"
"232","ICE FLOES"
"233","ICE JAM"
"234","Ice jam flood (minor"
"235","ICE JAM FLOODING"
"236","ICE ON ROAD"
"237","ICE ROADS"
"238","ICE STORM"
"239","ICE STORM/FLASH FLOOD"
"240","ICE/STRONG WINDS"
"241","ICY ROADS"
"242","LAKE-EFFECT SNOW"
