ID;EVTYPE;New_EVTYPE
1;   HIGH SURF ADVISORY;High Surf
2; FLASH FLOOD;Flash Flood
3; TSTM WIND;Thunderstorm Wind
4; TSTM WIND (G45);Thunderstorm Wind
5;?;Other
6;AGRICULTURAL FREEZE;Frost Freeze
7;APACHE COUNTY;Other
8;ASTRONOMICAL HIGH TIDE;Coastal Flood
9;ASTRONOMICAL LOW TIDE;Astronomical Low Tide
10;AVALANCE;Avalanche
11;AVALANCHE;Avalanche
12;Beach Erosion;Coastal Flood
13;BLACK ICE;Frost Freeze
14;BLIZZARD;Blizzard
15;BLIZZARD/WINTER STORM;Blizzard
16;BLOWING DUST;Dust Storm
17;blowing snow;Heavy Snow
18;BLOWING SNOW;Heavy Snow
19;BREAKUP FLOODING;Flood
20;BRUSH FIRE;Wildfire
21;COASTAL  FLOODING/EROSION;Coastal Flood
22;COASTAL EROSION;Coastal Flood
23;Coastal Flood;Coastal Flood
24;COASTAL FLOOD;Coastal Flood
25;Coastal Flooding;Coastal Flood
26;COASTAL FLOODING;Coastal Flood
27;COASTAL FLOODING/EROSION;Coastal Flood
28;Coastal Storm;Storm Surge Tide
29;COASTAL STORM;Storm Surge Tide
30;COASTAL SURGE;Storm Surge Tide
31;COASTALSTORM;Storm Surge Tide
32;Cold;Cold Wind Chill
33;COLD;Cold Wind Chill
34;COLD AIR TORNADO;Tornado
35;COLD AND SNOW;Heavy Snow
36;COLD AND WET CONDITIONS;Cold Wind Chill
37;Cold Temperature;Cold Wind Chill
38;COLD WAVE;Cold Wind Chill
39;COLD WEATHER;Cold Wind Chill
40;COLD/WIND CHILL;Cold Wind Chill
41;COLD/WINDS;Cold Wind Chill
42;COOL AND WET;Heavy Rain
43;DAM BREAK;Other
44;Damaging Freeze;Frost Freeze
45;DAMAGING FREEZE;Frost Freeze
46;DENSE FOG;Dense Fog
47;DENSE SMOKE;Dense Smoke
48;DOWNBURST;High Wind
49;DROUGHT;Drought
50;DROUGHT/EXCESSIVE HEAT;Heat
51;DROWNING;Other
52;DRY MICROBURST;High Wind
53;DRY MIRCOBURST WINDS;High Wind
54;Dust Devil;Dust Devil
55;DUST DEVIL;Dust Devil
56;DUST DEVIL WATERSPOUT;Dust Devil
57;DUST STORM;Dust Storm
58;DUST STORM/HIGH WINDS;Dust Storm
59;Early Frost;Frost Freeze
60;Erosion/Cstl Flood;Coastal Flood
61;EXCESSIVE HEAT;Heat
62;EXCESSIVE RAINFALL;Heavy Rain
63;EXCESSIVE SNOW;Heavy Snow
64;EXCESSIVE WETNESS;Heavy Rain
65;Extended Cold;Cold Wind Chill
66;Extreme Cold;Extreme Cold Wind Chill
67;EXTREME COLD;Extreme Cold Wind Chill
68;EXTREME COLD/WIND CHILL;Extreme Cold Wind Chill
69;EXTREME HEAT;Heat
70;EXTREME WIND CHILL;Extreme Cold Wind Chill
71;EXTREME WINDCHILL;Extreme Cold Wind Chill
72;FALLING SNOW/ICE;Heavy Snow
73;FLASH FLOOD;Flash Flood
74;FLASH FLOOD - HEAVY RAIN;Heavy Rain
75;FLASH FLOOD FROM ICE JAMS;Flash Flood
76;FLASH FLOOD LANDSLIDES;Flash Flood
77;FLASH FLOOD WINDS;Flash Flood
78;FLASH FLOOD/;Flash Flood
79;FLASH FLOOD/ STREET;Flash Flood
80;FLASH FLOOD/FLOOD;Flash Flood
81;FLASH FLOOD/LANDSLIDE;Flash Flood
82;FLASH FLOODING;Flash Flood
83;FLASH FLOODING/FLOOD;Flash Flood
84;FLASH FLOODING/THUNDERSTORM WI;Flash Flood
85;FLASH FLOODS;Flash Flood
86;FLOOD;Flood
87;FLOOD & HEAVY RAIN;Heavy Rain
88;FLOOD FLASH;Flash Flood
89;FLOOD/FLASH;Flash Flood
90;FLOOD/FLASH FLOOD;Flash Flood
91;FLOOD/FLASH/FLOOD;Flash Flood
92;FLOOD/FLASHFLOOD;Flash Flood
93;FLOOD/RAIN/WINDS;Heavy Rain
94;FLOOD/RIVER FLOOD;Flood
95;FLOODING;Flood
96;FLOODING/HEAVY RAIN;Heavy Rain
97;FLOODS;Flood
98;FOG;Dense Fog
99;FOG AND COLD TEMPERATURES;Cold Wind Chill
100;FOREST FIRES;Wildfire
101;Freeze;Frost Freeze
102;FREEZE;Frost Freeze
103;Freezing drizzle;Sleet
104;Freezing Drizzle;Sleet
105;FREEZING DRIZZLE;Sleet
106;FREEZING FOG;Freezing Fog
107;Freezing Rain;Heavy Rain
108;FREEZING RAIN;Heavy Rain
109;FREEZING RAIN/SLEET;Heavy Rain
110;FREEZING RAIN/SNOW;Heavy Rain
111;Freezing Spray;Sleet
112;FROST;Frost Freeze
113;Frost/Freeze;Frost Freeze
114;FROST/FREEZE;Frost Freeze
115;FROST\FREEZE;Frost Freeze
116;FUNNEL CLOUD;Funnel Cloud
117;Glaze;Sleet
118;GLAZE;Sleet
119;GLAZE ICE;Sleet
120;GLAZE/ICE STORM;Sleet
121;gradient wind;High Wind
122;Gradient wind;High Wind
123;GRADIENT WIND;High Wind
124;GRASS FIRES;Wildfire
125;GROUND BLIZZARD;Blizzard
126;GUSTNADO;Tornado
127;GUSTY WIND;High Wind
128;GUSTY WIND/HAIL;Hail
129;GUSTY WIND/HVY RAIN;Heavy Rain
130;Gusty wind/rain;Heavy Rain
131;Gusty winds;High Wind
132;Gusty Winds;High Wind
133;GUSTY WINDS;High Wind
134;HAIL;Hail
135;HAIL 0.75;Hail
136;HAIL 075;Hail
137;HAIL 100;Hail
138;HAIL 125;Hail
139;HAIL 150;Hail
140;HAIL 175;Hail
141;HAIL 200;Hail
142;HAIL 275;Hail
143;HAIL 450;Hail
144;HAIL 75;Hail
145;HAIL DAMAGE;Hail
146;HAIL/WIND;Hail
147;HAIL/WINDS;Hail
148;HAILSTORM;Hail
149;HARD FREEZE;Frost Freeze
150;HAZARDOUS SURF;High Surf
151;HEAT;Heat
152;Heat Wave;Heat
153;HEAT WAVE;Heat
154;HEAT WAVE DROUGHT;Heat
155;HEAT WAVES;Heat
156;HEAVY LAKE SNOW;Lake-Effect Snow
157;HEAVY MIX;Heavy Rain
158;HEAVY PRECIPITATION;Heavy Rain
159;HEAVY RAIN;Heavy Rain
160;HEAVY RAIN AND FLOOD;Heavy Rain
161;Heavy Rain/High Surf;Heavy Rain
162;HEAVY RAIN/LIGHTNING;Heavy Rain
163;HEAVY RAIN/SEVERE WEATHER;Heavy Rain
164;HEAVY RAIN/SMALL STREAM URBAN;Heavy Rain
165;HEAVY RAIN/SNOW;Heavy Rain
166;HEAVY RAINS;Heavy Rain
167;HEAVY RAINS/FLOODING;Heavy Rain
168;HEAVY SEAS;Coastal Flood
169;HEAVY SHOWER;Heavy Rain
170;HEAVY SNOW;Heavy Snow
171;HEAVY SNOW-SQUALLS;Heavy Snow
172;HEAVY SNOW AND HIGH WINDS;Heavy Snow
173;HEAVY SNOW AND STRONG WINDS;Heavy Snow
174;Heavy snow shower;Heavy Snow
175;HEAVY SNOW SQUALLS;Heavy Snow
176;HEAVY SNOW/BLIZZARD;Blizzard
177;HEAVY SNOW/BLIZZARD/AVALANCHE;Blizzard
178;HEAVY SNOW/FREEZING RAIN;Heavy Rain
179;HEAVY SNOW/HIGH WINDS & FLOOD;Heavy Snow
180;HEAVY SNOW/ICE;Heavy Snow
181;HEAVY SNOW/SQUALLS;Heavy Snow
182;HEAVY SNOW/WIND;Heavy Snow
183;HEAVY SNOW/WINTER STORM;Heavy Snow
184;HEAVY SNOWPACK;Heavy Snow
185;Heavy Surf;High Surf
186;HEAVY SURF;High Surf
187;Heavy surf and wind;High Surf
188;HEAVY SURF COASTAL FLOODING;Coastal Flood
189;HEAVY SURF/HIGH SURF;High Surf
190;HEAVY SWELLS;Flood
191;HIGH;Coastal Flood
192;HIGH  WINDS;High Wind
193;HIGH SEAS;Coastal Flood
194;High Surf;High Surf
195;HIGH SURF;High Surf
196;HIGH SWELLS;Coastal Flood
197;HIGH TIDES;Coastal Flood
198;HIGH WATER;Coastal Flood
199;HIGH WAVES;High Surf
200;HIGH WIND;High Wind
201;HIGH WIND (G40);High Wind
202;HIGH WIND 48;High Wind
203;HIGH WIND AND SEAS;High Wind
204;HIGH WIND DAMAGE;High Wind
205;HIGH WIND/BLIZZARD;Blizzard
206;HIGH WIND/HEAVY SNOW;High Wind
207;HIGH WIND/SEAS;High Wind
208;HIGH WINDS;High Wind
209;HIGH WINDS HEAVY RAINS;High Wind
210;HIGH WINDS/;High Wind
211;HIGH WINDS/COASTAL FLOOD;High Wind
212;HIGH WINDS/COLD;High Wind
213;HIGH WINDS/HEAVY RAIN;High Wind
214;HIGH WINDS/SNOW;High Wind
215;HURRICANE;Hurricane (Typhoon)
216;HURRICANE-GENERATED SWELLS;Hurricane (Typhoon)
217;Hurricane Edouard;Hurricane (Typhoon)
218;HURRICANE EMILY;Hurricane (Typhoon)
219;HURRICANE ERIN;Hurricane (Typhoon)
220;HURRICANE FELIX;Hurricane (Typhoon)
221;HURRICANE GORDON;Hurricane (Typhoon)
222;HURRICANE OPAL;Hurricane (Typhoon)
223;HURRICANE OPAL/HIGH WINDS;Hurricane (Typhoon)
224;HURRICANE/TYPHOON;Hurricane (Typhoon)
225;HVY RAIN;Heavy Rain
226;HYPERTHERMIA/EXPOSURE;Heat
227;HYPOTHERMIA;Cold Wind Chill
228;Hypothermia/Exposure;Cold Wind Chill
229;HYPOTHERMIA/EXPOSURE;Cold Wind Chill
230;ICE;Frost Freeze
231;ICE AND SNOW;Heavy Snow
232;ICE FLOES;Frost Freeze
233;ICE JAM;Frost Freeze
234;Ice jam flood (minor;Flood
235;ICE JAM FLOODING;Flood
236;ICE ON ROAD;Frost Freeze
237;ICE ROADS;Frost Freeze
238;ICE STORM;Ice Storm
239;ICE STORM/FLASH FLOOD;Flash Flood
240;ICE/STRONG WINDS;High Wind
241;ICY ROADS;Frost Freeze
242;LAKE-EFFECT SNOW;Lake-Effect Snow
243;Lake Effect Snow;Lake-Effect Snow
244;LAKE EFFECT SNOW;Lake-Effect Snow
245;LAKE FLOOD;Lakeshore Flood
246;LAKESHORE FLOOD;Lakeshore Flood
247;LANDSLIDE;Avalanche
248;LANDSLIDES;Avalanche
249;Landslump;Avalanche
250;LANDSPOUT;Avalanche
251;LATE SEASON SNOW;Heavy Snow
252;LIGHT FREEZING RAIN;Heavy Rain
253;Light snow;Heavy Snow
254;Light Snow;Heavy Snow
255;LIGHT SNOW;Heavy Snow
256;Light Snowfall;Heavy Snow
257;LIGHTING;Lightning
258;LIGHTNING;Lightning
259;LIGHTNING  WAUSEON;Lightning
260;LIGHTNING AND HEAVY RAIN;Heavy Rain
261;LIGHTNING AND THUNDERSTORM WIN;Thunderstorm Wind
262;LIGHTNING FIRE;Lightning
263;LIGHTNING INJURY;Lightning
264;LIGHTNING THUNDERSTORM WINDS;Thunderstorm Wind
265;LIGHTNING.;Lightning
266;LIGHTNING/HEAVY RAIN;Heavy Rain
267;LIGNTNING;Lightning
268;LOW TEMPERATURE;Cold Wind Chill
269;MAJOR FLOOD;Flood
270;Marine Accident;Other
271;MARINE HAIL;Hail
272;MARINE HIGH WIND;Marine High Wind
273;MARINE MISHAP;Other
274;MARINE STRONG WIND;Marine Strong Wind
275;MARINE THUNDERSTORM WIND;Marine Thunderstorm Wind
276;MARINE TSTM WIND;Marine Thunderstorm Wind
277;Microburst;High Wind
278;MICROBURST;High Wind
279;MICROBURST WINDS;High Wind
280;MINOR FLOODING;Flood
281;MIXED PRECIP;Heavy Rain
282;Mixed Precipitation;Heavy Rain
283;MIXED PRECIPITATION;Heavy Rain
284;MUD SLIDE;Avalanche
285;MUD SLIDES;Avalanche
286;MUD SLIDES URBAN FLOODING;Flood
287;Mudslide;Avalanche
288;MUDSLIDE;Avalanche
289;Mudslides;Avalanche
290;MUDSLIDES;Avalanche
291;NON-SEVERE WIND DAMAGE;High Wind
292;NON-TSTM WIND;High Wind
293;NON TSTM WIND;High Wind
294;Other;Other
295;OTHER;Other
296;RAIN;Heavy Rain
297;RAIN/SNOW;Heavy Rain
298;RAIN/WIND;Heavy Rain
299;RAINSTORM;Heavy Rain
300;RAPIDLY RISING WATER;Flood
301;RECORD COLD;Extreme Cold Wind Chill
302;RECORD HEAT;Heat
303;RECORD RAINFALL;Heavy Rain
304;RECORD SNOW;Heavy Snow
305;RECORD/EXCESSIVE HEAT;Heat
306;RIP CURRENT;Rip Current
307;RIP CURRENTS;Rip Current
308;RIP CURRENTS/HEAVY SURF;High Surf
309;RIVER AND STREAM FLOOD;Flood
310;RIVER FLOOD;Flood
311;River Flooding;Flood
312;RIVER FLOODING;Flood
313;ROCK SLIDE;Avalanche
314;ROGUE WAVE;Seiche
315;ROUGH SEAS;High Surf
316;ROUGH SURF;High Surf
317;RURAL FLOOD;Flood
318;SEICHE;Seiche
319;SEVERE THUNDERSTORM;Thunderstorm Wind
320;SEVERE THUNDERSTORM WINDS;Thunderstorm Wind
321;SEVERE THUNDERSTORMS;Thunderstorm Wind
322;SEVERE TURBULENCE;Thunderstorm Wind
323;SLEET;Sleet
324;SLEET/ICE STORM;Sleet
325;SMALL HAIL;Hail
326;SMALL STREAM FLOOD;Flood
327;Snow;Heavy Snow
328;SNOW;Heavy Snow
329;SNOW ACCUMULATION;Heavy Snow
330;SNOW AND HEAVY SNOW;Heavy Snow
331;SNOW AND ICE;Heavy Snow
332;SNOW AND ICE STORM;Heavy Snow
333;SNOW FREEZING RAIN;Heavy Rain
334;SNOW SQUALL;Heavy Snow
335;Snow Squalls;Heavy Snow
336;SNOW SQUALLS;Heavy Snow
337;SNOW/ BITTER COLD;Heavy Snow
338;SNOW/ ICE;Heavy Snow
339;SNOW/BLOWING SNOW;Heavy Snow
340;SNOW/COLD;Heavy Snow
341;SNOW/FREEZING RAIN;Heavy Rain
342;SNOW/HEAVY SNOW;Heavy Snow
343;SNOW/HIGH WINDS;Heavy Snow
344;SNOW/ICE;Heavy Snow
345;SNOW/ICE STORM;Heavy Snow
346;SNOW/SLEET;Heavy Snow
347;SNOW/SLEET/FREEZING RAIN;Heavy Rain
348;SNOWMELT FLOODING;Flood
349;STORM FORCE WINDS;Thunderstorm Wind
350;STORM SURGE;Storm Surge Tide
351;STORM SURGE/TIDE;Storm Surge Tide
352;Strong Wind;Strong Wind
353;STRONG WIND;Strong Wind
354;Strong Winds;Strong Wind
355;STRONG WINDS;Strong Wind
356;THUDERSTORM WINDS;Thunderstorm Wind
